month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
May,1873.48,1722.61,2096.95,2445.82,2908.14,3068.36,2222.98,1860.31,1462.23,1553.22,1783.02,2821.87,2728.8,1711.45,1687.09,2412.61,2186.6,2233.65,2905.55,2600.11,2005.35,1629.19,1581.3600000000001,1715.97,1851.97,2593.34,2772.6,2336.36,1820.01,1676.26,2179.43
Jun,2181.19,2690.23,2856.89,1939.76,1921.02,2194.4900000000002,1790.2,2116.54,2260.62,2766.73,2831.61,2124.86,1699.35,1892.91,1609.52,2057.15,2307.27,2767.96,1908.31,1447.26,1281.85,1220.66,1784.98,2033.26,2593.38,2048.9,1737.8,1272.14,1700.43,2336.67,
Jul,2646.65,2699.5,2286.66,1726.92,1391.08,1276.18,1917.72,2688.52,2147.39,1301.5,1229.67,1445.78,1680.3,1668.45,2595.91,2539.37,1811.27,1712.93,1716.23,2061.14,2207.14,2446.6,2630.7799999999997,1737.72,1588.34,1579.49,1465.46,1650.94,2693.21,2621.04,1800.17
Aug,1852.92,1759.69,1903.54,1923.05,2491.5,2522.73,1472.18,1323.9,1497.2,1834.26,1825.26,2652.47,2808.13,1598.9,1812.47,1662.45,1761.8400000000001,1870.79,2645.32,2861.92,1337.89,1532.95,1933.79,1579.15,1657.42,2145.63,2273.62,1496.68,953.0600000000001,1446.57,1476.74
Sep,1964.37,2346.49,2490.84,1795.5,1346.66,1342.32,1383.99,1891.87,2761.61,2636.78,1938.45,1647.99,1594.06,1697.6,1674.78,2882.21,2838.72,2217.7799999999997,1759.17,1900.21,1884.88,2262.17,2778.41,2865.29,2389.71,2169.62,2225.24,2118.7400000000002,2403.24,2682.71,
Oct,2728.29,1527.88,1244.03,1702.41,1799.99,3338.04,4299.6,4299.6,2660.13,1311.81,930.94,1622.68,3331.39,4262.4,4659.92,3015.0,1366.0,1552.0,1817.31,3169.31,4145.96,4388.96,2609.16,1378.0,674.0,1371.0,2519.0,3858.0,3957.0,2182.0,1074.0
Nov,1081.0,1060.0,1265.0,2496.12,2359.67,1332.8600000000001,1092.77,1540.06,1842.56,2427.23,3370.15,3511.04,2489.06,2026.77,2339.44,2192.86,2259.83,2687.43,2596.83,1501.58,1400.94,1250.94,1297.78,1756.93,2306.3,2065.47,1056.47,1423.04,1332.66,1453.6,
Dec,2013.82,2167.2799999999997,2413.05,1245.1,1267.94,1708.6,1816.3,1957.34,2172.97,2178.52,1728.45,1528.1,1431.96,1235.86,1299.45,1515.5900000000001,1966.61,1566.94,1122.85,924.2,1060.46,1498.91,1199.33,1585.29,889.1899999999999,853.99,930.4,1286.89,1536.4,2451.1,2528.23
Jan,1599.57,1549.1100000000001,1217.86,1523.08,2132.95,2255.47,2296.76,1332.1200000000001,1217.88,1227.79,1400.66,1767.97,2528.91,2702.44,1901.71,1492.6,1036.32,942.85,1431.18,1755.3500000000001,2159.82,1007.45,859.77,709.81,940.33,1956.17,2741.1,2549.49,1799.21,1003.0500000000001,975.8100000000001
Feb,1165.21,1514.1100000000001,2100.82,2641.99,1485.32,1646.96,1450.48,1594.93,1886.0,2439.54,2820.3,1700.08,1498.16,1641.12,1550.53,1840.42,2588.75,2505.78,2047.98,1423.86,1396.24,1412.21,1650.95,2596.89,2581.61,1795.81,1283.44,1458.54,,,
Mar,1544.81,1743.8700000000001,2382.2,2767.42,2210.8,2016.15,1603.56,2077.22,3380.0,5409.0,5498.0,3980.0,3096.0,2811.0,2810.45,3764.7,5130.83,4760.35,2391.05,1057.05,1123.21,2013.88,2487.2,2964.8,2963.76,2039.3799999999999,2078.52,2044.33,2493.45,2252.55,2763.49
Apr,2785.23,2119.07,1685.46,1789.18,1809.45,2183.22,2830.51,2427.86,1724.51,1097.92,1572.46,1926.88,2385.46,3079.85,3104.01,2602.41,2002.03,2036.8,2278.68,2469.47,2930.76,3039.45,2252.4,2045.93,2332.84,2304.94,2607.25,2835.2400000000002,2761.37,2279.3,
